SituacaoConvenio;ValorConvenio
Excluido;7.431.548.626,00
Anulado;6.903.883.483,00
Cancelado;1.362.054.288,00
Baixado;365.984.375,00
Rescindido;221.581.524,00
Arquivado;34.377.547,00
Total;16.319.429.843,00
