NomeMunicipio ; UF ; OrgaoSuperior ; SituacaoConvenio ; ValorConvenio ; ValorLiberado ; ObjetoConvenio;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 405925.41 ; 0.00 ; EXECUCAO DE PROGRAMAS. PROJETOS E EVENTOS E A VIABILIZACAO DA OPERACAOE DAS ATIVIDADES ESTATUTARIAIS DO INSTITUTO:DIFUSAO E ENSINO DO IDIOMAPORTUGUES. FORMACAO E CAPACITACAO DE PROFESSORES DE PORTUGUES. DIVUL- GACAO DA CULTURA E ARTES BRASILEIRAS.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 586259.96 ; 586259.96 ; REALIZACAO DE ATIVIDADES CULTURAIS ENTRE O CONSULADO-GERAL DO BRASIL  E O INSTITUTO BRASIL - ITALIA. IBRIT PARA PARA EXECUCAO DE PROGRAMAS. PROJETOS E EVENTOS DE INTERESSE RECIPROOCOS. TAIS COMO OS PROJETOS:   'A LINGUA e MINHA PATRIA'. 'LER E CONECTAR'E 'La VEM O BRASIL'.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 469000.00 ; 0.00 ; EXECUCAO DE PROGRAMAS. PROJETOS E EVENTOS. E A VIABILIZACAO DA        OPERACAO E DAS ATIVIDADES ESTATUTARIAS DO INSTITUTO: DIFUSAO E ENSINO DO IDIOMA PORTUGUES. FORMACAO E CAPACITACAO DE PROFESSORES DE         PORTUGUES. DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 98000.00 ; 98000.00 ; PROJETO PILOTO DE APOIO AO ENSINO DE PORTUGUES.DA CULTURA E LITERATURABRASILEIRAS NOS CURSOS DE BACHARELADO E MESTRADO DO INSTITUTO DE ESTU-DOS LATINO-AMERICANOS DA UNIVERSIDADE LIVRE DE BERLIM.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 36000.00 ; 36000.00 ; O TITULAR DO NUCLEO SERA O PROFESSOR DR. PAULO VISENTINI. DA UNIVERSI-DADE FEDERAL DO RS. QUE VAI MINISTRAR DOIS CURSOS: ESPECIALIZACAO EM  GRADUACAO E MESTRADO. ALEM DISSO. VAI PROFERIR UM NUMERO DE CONFEREN- CIAS NOS PAISES BAIXOS E EM LONDRES SOBRE POLITICA EXTERNA. ESTA PRE- VISTA TAMBEM A VINDA DOS PROFESSORES DR. RICARDO CARNEIRO. UNICAMP. E DENILSON LOPES SILVA. UFRJ. PARA PARTICIPAREM DE CONFERENCIAS E MINIS-;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 12000.00 ; 12000.00 ; REALIZACAO DE EVENTOS (SEMINARIOS. CONFERENCIAS) E EDICAO DE PUBLICACACOES COM VISTAS A DIVULGACAO DO BRASIL NA ALEMANHA E A PROMOCAO DAS   RELACOES BILATERAIS NOS AMBITOS POLITICO. ECONOMICO. SOCIAL E CULTURAL;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 322439.00 ; 0.00 ; DIFUSAO E ENSINO DO IDIOMA PORTUGUES;DIVULGACAO DA CULTURA E DAS ARTESBRASILEIRAS;PROMOCAO E DIVULGACAO DE ESTUDOS E PESQUISAS SOBRE A CUL- TURA DO BRASIL;PRESERVACAO DAS TRADICOES E DA HISTORIA DO BRASIL NO   URUGUAI;MANUTENCAO DE BIBLIOTECA PARA CONSULTAS E EMPRESTIMOS DE OBRASAO PUBLICO;E REALIZACAO DE SEMINARIOS. MOSTRAS. EXPOSICOES. SIMPOSIOS.FESTIVAIS E ASSEMELHADOS PARA A CONCECUCAO DAS ATIVIDADES DESCRITAS.
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 24000.00 ; 24000.00 ; MUTUA COOPERACAO ENTRE O CONSULADO-GERAL DE MIAMI E O BROWARD CENTER  FOR THE PERFORMING ARTS PARA EXECUCAO DE PROGRAMAS. PROJETOS E EVENTOSDE INTERESSE RECIPROCO NO AMBITO DA CRIACAO DE PONTO DE CULTURA NO SULDA FLORIDA.;;;;;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 691220.00 ; 0.00 ; DIFUSAO E ENSINO DO IDIOMA PORTUGUES EM TODO O TERRITORIO ARGENTINO.  DIVULGACAO DA CULTURA E DAS ARTES BRASILEIRAS; PROMOCAO E DIVULGACAO  DE ESTUDOS E PESQUISAS SOBRE A CULTURA DO BRASIL; PRESERVACAO DAS TRA-DICOES E DIVULGACAO DA HISTORIA DO BRASIL; SERVICO DE BIBLIOTECA PARA CONSULTA E EMPRESTIMOS DE OBRAS AO PUBLICO; REALIZACAO DE  SEMINARIOS.MOSTRAS. EXPOSICOES. SIMPOSIOS. FESTIVAIS E ASSEMELHADOS PARA A CONSE-;
EXTERIOR ; EXTERIOR ; MINISTERIO DAS RELACOES EXTERIORES ; Concluido ; 25000.00 ; 25000.00 ; PLANEJAR. PROMOVER E APOIAR SEMINARIOS. CONGRESSOS E PALESTRAS RELATI-VOS A TEMAS DE ESTUDOS BRASILEIROS. JUNTO A ENTIDADES ACADEMICOS E a  COMUNIDADE LOCAL. ESTIMULAR A PRODUCAO INTELECTUAL VOLTADA PARA ASSUN-TOS BRASILEIROS. ARTICULANDO A DIFUSAO DA CULTURA DO BRASIL EM SUAS   MULTIPLAS VERTENTES. ORGANIZAR A RECEPCAO DE ACADEMICOS E INTELECTUAISBRASILEIRAS aS INSTITUICOES DO 'UNIVERSITY OF TEXAS SYSTEM'.;;;;;
